Age,Gender,Height,Weight,FAVC,FCVC,NCP,CH2O,FAF,TUE,CALC,MTRANS,NObeyesdad,BMI
52,0,1.4663187263200372,51.28596925044828,0,3,1,2.9087387244564717,3,0.5820067268005631,3,4,Normal_Weight,23.85293395531203
42,0,1.964912512467012,146.51948128640726,1,1,2,2.8426459341936265,2,1.0412449303429037,2,1,Obesity_Type_III,37.94975146679131
28,0,1.5669951088799743,80.34816911655457,0,1,1,1.1079985843620779,1,0.7826656729323853,2,0,Obesity_Type_II,32.72206501629027
56,0,1.8390357741723324,45.775311269409904,0,2,1,1.7206422753831254,0,1.919856241167003,0,2,Insufficient_Weight,13.5347722143337
21,1,1.8541760891879129,123.33898001433428,0,3,1,2.626286780598673,0,0.6700983418769648,0,2,Obesity_Type_III,35.87553613798799
34,1,1.9425064209438316,68.14127096781039,1,3,4,2.223153090958802,3,1.557091642845378,0,1,Insufficient_Weight,18.05865094766541
52,0,1.4661912122594913,69.68996185894362,0,1,3,2.558187886763541,2,1.71083230926236,0,2,Obesity_Type_II,32.418207851335914
32,1,1.912185619376914,77.5619429448252,0,3,3,2.438066677579775,2,0.8712129949619318,1,0,Normal_Weight,21.212340228041572
36,0,1.7294298758450941,47.02428070531711,1,2,4,1.9935402262543271,1,0.7563436289058625,3,0,Insufficient_Weight,15.722306084700305
24,0,1.7852483782818886,61.31802016898001,1,2,3,1.082436091903399,1,1.495491641865256,2,4,Normal_Weight,19.239369232243547
24,1,1.7915692468741478,39.6475930757806,1,3,4,2.168536404129002,0,1.8257919606124682,1,3,Insufficient_Weight,12.352351155414189
37,1,1.8844928366419056,95.12159965932914,0,1,2,1.097133306118592,3,1.5098634661444765,3,2,Overweight_Level_I,26.784908265426825
49,1,1.6267058807443284,49.61617755466438,1,3,4,2.2074534350702617,2,0.4542527311837312,3,1,Normal_Weight,18.750170863329046
53,1,1.8385171306257964,125.01422823556908,0,2,3,2.600821724987356,1,1.7766154948754107,1,0,Obesity_Type_III,36.9848688070564
37,1,1.7301463981527645,68.6884792501477,0,1,3,2.1699834974038374,1,0.7751633348736662,1,0,Normal_Weight,22.946592083420114
16,1,1.8704988275818342,157.89034214843232,1,3,2,2.994043609123394,3,1.1524588235558686,2,0,Obesity_Type_III,45.12743872737993
35,1,1.9749893973681707,148.77770505223023,0,1,4,1.9117330003608661,3,1.662871238585422,0,3,Obesity_Type_III,38.14242652596937
15,0,1.5563450392239935,75.46955276599424,0,1,2,2.497654927207975,0,0.3767895348009844,0,3,Obesity_Type_II,31.15731355665486
37,0,1.9771637800267987,137.68514728674154,0,2,1,2.3344265834838147,3,1.5690202713551062,2,2,Obesity_Type_III,35.22100966917491
57,0,1.4976004417698703,140.20885798776558,0,1,4,2.982863383116176,0,1.192325595821355,2,1,Obesity_Type_III,62.51489886878106
43,0,1.4512283003895512,163.3069523784157,1,3,2,2.42643801015421,0,1.7866832836552164,0,3,Obesity_Type_III,77.54132113614874
51,0,1.4734058261742504,114.3278383425563,0,1,2,1.3280614629187788,3,0.3439408036870859,1,4,Obesity_Type_III,52.66319777750299
15,1,1.6311446745104836,49.32768256510144,1,1,3,2.9110354128344818,3,0.8413644740818569,0,3,Normal_Weight,18.53982999805801
34,0,1.7854403552595701,120.501490844724,0,3,4,2.3355544528915226,3,1.6656861857336749,3,0,Obesity_Type_III,37.8008640241952
46,0,1.4865856566705602,117.74744829538044,0,2,1,1.1186764616127798,3,0.03846340691352035,3,1,Obesity_Type_III,53.280909294960395
25,0,1.4530028817006706,119.4321727549744,1,2,1,2.315136611569225,3,0.2244027335312857,2,2,Obesity_Type_III,56.57028698833435
35,0,1.946658245083161,77.70035166113065,0,3,4,2.76623881334955,0,1.9811304255134694,0,3,Normal_Weight,20.504234365572813
57,0,1.8856211170481627,147.31962772012196,0,3,4,2.15408372398005,1,0.5607883571807011,0,0,Obesity_Type_III,41.43351196645175
38,0,1.8788670807036865,159.89349505238192,0,2,2,1.7080392760640224,2,1.9510863874479067,3,4,Obesity_Type_III,45.293791973352846
40,0,1.9187448660160478,66.43177663524709,0,1,3,2.641819268141232,2,0.3650631020173478,0,4,Insufficient_Weight,18.044356786263574
55,1,1.8210181645692152,50.1071719252172,0,3,3,2.565024016411659,0,0.7221888860146712,2,2,Insufficient_Weight,15.110239076329101
41,1,1.505334188766483,63.51141417922899,0,1,3,2.0883643084626016,0,1.5057388890071413,2,2,Obesity_Type_I,28.027601397483835
29,0,1.6615230996790733,142.38956954622057,1,3,4,1.3087235397918007,1,1.315556814476357,3,3,Obesity_Type_III,51.57810833966493
28,1,1.8332692278262537,124.25722398730079,1,2,3,1.5019729710463627,3,1.1622447998581111,0,2,Obesity_Type_III,36.9716769396864
60,1,1.598577264219506,119.14196513472996,1,1,2,2.4769679443722117,0,1.0597983516100151,0,0,Obesity_Type_III,46.62270801003676
57,1,1.8143253729922058,89.62593502378749,0,1,4,2.612164330789855,2,1.6868808873294805,3,0,Overweight_Level_I,27.22722317724582
16,1,1.4629841775818557,111.80632441044091,0,3,4,1.5585305560819795,3,0.46989712566678543,1,0,Obesity_Type_III,52.2380686842552
50,0,1.6122527906661843,77.7921397845703,0,1,3,1.7359701543735733,0,0.8849418539870368,1,3,Obesity_Type_I,29.927431323903622
20,1,1.7410390782269014,99.12721000666312,1,3,1,1.1552637704995903,3,0.31090458431291457,0,3,Obesity_Type_II,32.70211524115564
34,1,1.7850076096383083,138.92594157470265,0,2,1,2.4269238967329994,2,1.1918831914614088,2,2,Obesity_Type_III,43.60167818379607
22,1,1.7558315521648127,162.63644127938824,1,1,2,1.0071550892000627,3,0.5010888485426404,1,3,Obesity_Type_III,52.7536076198885
52,0,1.8198108263189177,156.49360437231502,0,3,3,1.0930830424381361,0,0.6676841286867716,0,0,Obesity_Type_III,47.254601446431316
31,0,1.4532270365671147,156.66710879862734,0,1,3,1.0086881355681798,0,0.9425014332470563,1,1,Obesity_Type_III,74.18410998309504
17,0,1.5034988359880863,89.68019059073616,0,3,4,2.2906391666752333,2,0.053541171406255694,3,0,Obesity_Type_III,39.672569547883946
38,0,1.910540453707947,98.06752494385566,1,3,4,1.834774255401093,1,0.1838758718416753,1,1,Overweight_Level_II,26.866601821745487
27,0,1.8113267813677854,127.91005994249167,0,3,3,1.5950935226866605,1,1.3718584414164392,1,2,Obesity_Type_III,38.98621608713819
22,0,1.509853770623586,155.19618293446183,1,2,4,2.825402020714221,3,0.8579399614350145,3,4,Obesity_Type_III,68.07870088977985
39,0,1.896299451821247,56.891276678362665,0,1,3,1.3856055893532133,0,1.7295804439997908,2,3,Insufficient_Weight,15.820923870245498
15,1,1.5783825454470204,77.33447484222667,0,2,2,1.7787360207628011,0,1.389344007288399,0,3,Obesity_Type_II,31.041921867026335
33,1,1.7034777386234685,56.545102418857795,1,3,4,2.880623601855503,2,0.016201883294644892,2,0,Normal_Weight,19.485971815027238
41,1,1.5269541518288698,116.11307477489137,0,3,3,1.8542131256740848,2,1.2334246615342697,2,0,Obesity_Type_III,49.79997575982613
60,0,1.8263583299035044,77.59392560782973,0,2,4,2.1093873712941154,0,0.18744973211943283,1,1,Normal_Weight,23.26246563702377
20,0,1.803432843137562,80.08958941658426,0,2,2,1.1606737331389751,2,1.5618663595809885,0,3,Normal_Weight,24.624993137709996
57,0,1.5618896097180521,47.93541089548538,0,1,4,2.5803327737869246,1,1.983015376557004,1,2,Normal_Weight,19.649693601087307
21,0,1.907602406434211,83.07430378775658,1,3,3,1.8455175541764763,1,1.062397588483023,3,0,Normal_Weight,22.829215466428447
60,0,1.6626921928364475,147.67455993259975,1,2,4,2.601030249196967,3,1.3655590003882607,2,3,Obesity_Type_III,53.417304621683684
48,1,1.6050329982674931,68.3671742982452,0,3,4,1.5075952851119843,2,0.4746283217895031,2,4,Overweight_Level_I,26.538703301442265
27,1,1.5307346824162038,126.59362074246827,0,3,3,1.84495750112282,3,0.8751954875075871,3,1,Obesity_Type_III,54.02713983706578
30,0,1.591069046633235,118.33317146226267,1,1,1,2.5730978727300204,2,1.7121906644727674,0,0,Obesity_Type_III,46.74427739279658
49,0,1.461674268248623,147.79906065450854,0,1,4,2.947755534087279,2,0.33484589549250243,2,0,Obesity_Type_III,69.178393239132
53,0,1.7591264710017414,55.66828140403082,1,1,4,1.1192510487745377,1,0.5310712112275242,2,2,Insufficient_Weight,17.989276052544124
17,0,1.8963822955622924,162.17633500347546,0,2,2,2.6249123548378086,0,0.8908673505720603,0,0,Obesity_Type_III,45.09575863689904
15,1,1.7409596382040702,112.41120940108607,1,3,1,1.6013781352542205,2,1.424497783688028,1,3,Obesity_Type_III,37.0878975736343
19,0,1.566215199819654,164.42974319569862,1,2,2,2.1014865617821443,2,0.7517679095913476,3,3,Obesity_Type_III,67.03127956049357
55,0,1.4678446644533525,153.8508554590972,1,2,3,1.5801845299014958,2,1.8554645595660078,0,3,Obesity_Type_III,71.40682419368298
17,0,1.5637528788271655,66.91117628625133,1,1,3,2.22689094513598,0,0.18891410253743834,3,4,Overweight_Level_II,27.362918714295578
42,0,1.670544356877679,46.07641324781745,0,3,2,1.707605661287951,3,0.741608395089695,3,4,Insufficient_Weight,16.510591842739935
31,1,1.852594057210892,71.21052581821556,0,3,4,1.667229781955363,3,1.4179082468568438,2,0,Normal_Weight,20.748354492626813
39,0,1.5495567118450202,105.47301977392691,1,1,1,1.075876625871871,2,0.4519735313229849,0,4,Obesity_Type_III,43.926482672008916
57,0,1.8314894702779836,60.621142250213936,1,3,2,1.293920811807623,2,1.312826268459346,3,4,Insufficient_Weight,18.072376391427063
47,1,1.9094747382264983,60.09992780926655,1,1,2,2.8341563977309576,3,0.3284339164546919,1,2,Insufficient_Weight,16.48337412660674
23,1,1.6905918294974291,97.2867869352493,1,2,3,2.9965548577464927,3,0.11196056972337276,3,4,Obesity_Type_II,34.0389636303466
49,1,1.8853589555705743,43.19176436733916,0,2,4,2.5610411517392127,1,0.24203143349729772,2,1,Insufficient_Weight,12.15102316281545
27,0,1.7439683944586006,54.35789839906608,1,1,1,1.5736252495469736,2,1.8599695662682694,1,1,Insufficient_Weight,17.872505421111413
44,0,1.7876581436528796,91.3985287654014,1,2,2,1.804890276887185,3,1.1035017658791026,1,1,Obesity_Type_I,28.60027846678907
28,1,1.7289275839792473,46.954368560203775,1,2,1,2.479006909812165,1,1.592691550959298,0,0,Insufficient_Weight,15.708054450312854
